id,Title,Content,Permalink,_filled,_featured,_job_hours,_company_avatar,_company_facebook,_company_twitter,_company_googleplus,_company_linkedin,_company_instagram,_company_github,_company_pinterest,_claimed,geolocation_lat,geolocation_long,geolocation_formatted_address,geolocation_street_number,geolocation_street,geolocation_city,geolocation_state_short,geolocation_state_long,geolocation_postcode,geolocation_country_short,geolocation_country_long,geolocated,_job_location,_application,_company_website,_company_video,_job_expires,_phone,_gallery_images,_gallery,_job_author,_products,geolocation_map_lock_status,indica,_indica,hybrid,_hybrid,topicals,_topicals,edibles,_edibles,accessories,_accessories,_bubble_hash,vape_cart,_vape_cart,first_time_patient,_first_time_patient,coupons,_coupons,sativa,_sativa,bho,_bho,co2,_co2,rosin,_rosin,bubble_hash,_wp_old_slug,_average_rating,rating,_submitting_key,_job_title,_job_description,_featured_image,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Business Regions","Business Categories","Business Tags"
994,Utopia,,http://kushy.net/business/utopia/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.7707971,-73.5271892,"3 Newbridge Rd, Hicksville, NY 11801, USA",3,"Newbridge Road",Hicksville,NY,"New York",11801,US,"United States",1,"3 Newbridge Road, Hicksville, New York 11801",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
995,"Wonderland Smoke Shop",,http://kushy.net/business/wonderland-smoke-shop/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,,,,,,"East Brunswick",,,,,,,"272 State Route 18 North, East Brunswick, New Jersey 8816",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,,Headshop,
996,Escapades,,http://kushy.net/business/escapades/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,,,,,,Douglasville,,,,,,,"1 Park Lane #203, Douglasville, Pennsylvania 19518",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,,Headshop,
997,"Smokers Expo",,http://kushy.net/business/smokers-expo/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.6406127,-73.6398522,"2895 Long Beach Rd, Oceanside, NY 11572, USA",2895,"Long Beach Road",Oceanside,NY,"New York",11572,US,"United States",1,"2895 Long Beach Road, Oceanside, New York 11572",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York|United States>California>Oceanside",Headshop,
998,"2nd Ave Smoke Shop",,http://kushy.net/business/2nd-ave-smoke-shop/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.726987,-73.9890538,"89 2nd Ave, New York, NY 10003, USA",89,"2nd Avenue","New York",NY,"New York",10003,US,"United States",1,"89 2nd Avenue, New York, New York 10003",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
999,Cigarillos,,http://kushy.net/business/cigarillos/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.7252924,-74.0029192,"191 Spring St, New York, NY 10012, USA",191,"Spring Street","New York",NY,"New York",10012,US,"United States",1,"191 Spring Street, New York, New York 10012",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
1000,"Smoked Out Tobacco & Hookah Supplay @ Erics Mini Market",,http://kushy.net/business/smoked-out-tobacco-hookah-supplay-erics-mini-market/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.9388245,-74.184772,"464 Belmont Ave, Haledon, NJ 07508, USA",464,"Belmont Avenue",Haledon,NJ,"New Jersey",07508,US,"United States",1,"464 Belmont Avenue, Haledon, New Jersey 7508",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New Jersey",Headshop,
1001,"Head to Toe",,http://kushy.net/business/head-to-toe/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.2142118,-73.2122697,"3925 Main St, Bridgeport, CT 06606, USA",3925,"Main Street",Bridgeport,CT,Connecticut,06606,US,"United States",1,"3925 Main Street, Bridgeport, Connecticut 6606",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Connecticut",Headshop,
1002,"Inner Eye Boutique",,http://kushy.net/business/inner-eye-boutique/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.811919,-74.2146731,"343 Bloomfield Ave, Montclair, NJ 07042, USA",343,"Bloomfield Avenue",Montclair,NJ,"New Jersey",07042,US,"United States",1,"343 Bloomfield Ave, Montclair, New Jersey 7042",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New Jersey",Headshop,
1003,"Village Sensations",,http://kushy.net/business/village-sensations/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.0930919,-74.012926,"111 Main St, Nanuet, NY 10954, USA",111,"Main Street",Nanuet,NY,"New York",10954,US,"United States",1,"111 Main St # A, Nanuet, New York 10954",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
1004,"Funny Monk Emporium",,http://kushy.net/business/funny-monk-emporium/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.0266292,-75.2241286,"4369 Cresson St, Philadelphia, PA 19127, USA",4369,"Cresson Street",Philadelphia,PA,Pennsylvania,19127,US,"United States",1,"4369 Cresson Street, Philadelphia, Pennsylvania 19127",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Pennsylvania",Headshop,
1005,"Condoms Galore - Bethlehem",,http://kushy.net/business/condoms-galore-bethlehem/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,,,,,,Bethlehem,,,,,,,"Pennsylvania, Bethlehem, Pennsylvania 18020",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,,Headshop,
1006,"Exotic Dreams Underground",,http://kushy.net/business/exotic-dreams-underground/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.63296,-75.470722,"778 3rd St, Whitehall, PA 18052, USA",778,"3rd Street",Whitehall,PA,Pennsylvania,18052,US,"United States",1,"778 Third St., Whitehall, Pennsylvania 18052",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Pennsylvania",Headshop,
1007,Burn,,http://kushy.net/business/burn/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,,,,,,Wantagh,,,,,,,"3248 Railroad Avenue, Wantagh, New York 11793",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,,Headshop,
1008,"After Glow Smoke Shop",,http://kushy.net/business/after-glow-smoke-shop/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,,,,,,Kutztown,,,,,,,"126 West Main Street, Kutztown, Pennsylvania 19530",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,,Headshop,
1009,Likwid,,http://kushy.net/business/likwid/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.7478167,-74.0861668,"65 Main St, New Paltz, NY 12561, USA",65,"Main Street","New Paltz",NY,"New York",12561,US,"United States",1,"65 Main Street, New Paltz, New York 12561",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
1010,"Greyboys Tobacco Shop",,http://kushy.net/business/greyboys-tobacco-shop/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,39.9885466,-75.3112005,"2411 W Darby Rd, Havertown, PA 19083, USA",2411,"West Darby Road",Havertown,PA,Pennsylvania,19083,US,"United States",1,"2411 West Darby Road, Havertown, Pennsylvania 19083",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Pennsylvania",Headshop,
1011,"Pipe Down 2",,http://kushy.net/business/pipe-down-2/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,39.9639236,-74.1827009,"911 Charles Dr, Toms River, NJ 08753, USA",911,"Charles Drive","Toms River",NJ,"New Jersey",08753,US,"United States",1,"911 Charles Drive, Toms River, New Jersey 8753",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New Jersey",Headshop,
1012,"Primal Expressions",,http://kushy.net/business/primal-expressions/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.6221968,-75.3872867,"311 W Broad St, Bethlehem, PA 18018, USA",311,"West Broad Street",Bethlehem,PA,Pennsylvania,18018,US,"United States",1,"311 W Broad St, Bethlehem, Pennsylvania 18018",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Pennsylvania",Headshop,
1013,"Underground Tattoo",,http://kushy.net/business/underground-tattoo/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.7330598,-73.9977977,"29 W 8th St, New York, NY 10011, USA",29,"West 8th Street","New York",NY,"New York",10011,US,"United States",1,"29 West 8th Street, New York, New York 10011",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
1014,Songbirds,,http://kushy.net/business/songbirds/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.6816712,-72.7118904,"2551 Berlin Turnpike, Newington, CT 06111, USA",2551,"Berlin Turnpike",Newington,CT,Connecticut,06111,US,"United States",1,"2551 Berlin Turnpike, Newington, Connecticut 6111",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Connecticut",Headshop,
1015,"East Coast Distributors",,http://kushy.net/business/east-coast-distributors/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.6620738,-75.473657,"1096 7th St, Catasauqua, PA 18032, USA",1096,"7th Street",Catasauqua,PA,Pennsylvania,18032,US,"United States",1,"1096 7th St, Catasauqua, Pennsylvania 18032",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Pennsylvania",Headshop,
1016,"East West",,http://kushy.net/business/east-west/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.7466252,-73.5969112,"463 Old Country Rd, Westbury, NY 11590, USA",463,"Old Country Road",Westbury,NY,"New York",11590,US,"United States",1,"463 Old Country Road, Westbury, New York 11590",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
1017,"Wonderland Smoke Shop",,http://kushy.net/business/wonderland-smoke-shop-2/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.2669802,-74.716819,"2793 Brunswick Pike, Lawrence Township, NJ 08648, USA",2793,"Brunswick Pike",Lawrenceville,NJ,"New Jersey",08648,US,"United States",1,"2793 Brunswick Pike, Lawrenceville, New Jersey 8648",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New Jersey",Headshop,
